Application,Soil_pH,Moisture_pct,Nitrogen_mg_per_kg,Yield_ton_per_ha,Pesticide_Use_kg_per_ha
Agriculture,7.9574,33.9123,176.6759,7.9576,0.1197
Agriculture,6.2549,38.3171,194.7216,7.1285,1.348
Agriculture,8.5821,42.5682,195.5042,7.4603,0.4893
Agriculture,5.0695,42.3932,196.5709,5.1268,0.0911
Agriculture,5.175,44.7159,142.8475,5.3874,2.633
Agriculture,8.9386,58.6059,115.0577,1.7607,2.0579
Agriculture,8.9489,20.5308,33.9623,4.0723,3.1239
Agriculture,8.6846,0.3866,158.3465,6.2804,0.9781
Agriculture,5.7877,19.2227,139.2854,7.4342,4.1655
Agriculture,8.2372,56.4681,163.8826,0.8733,1.8179
Agriculture,5.0029,5.0965,98.437,4.0203,2.5292
Agriculture,4.9305,39.704,176.5752,4.5687,3.4163
Agriculture,6.2944,24.3247,145.9603,6.4908,0.6707
Agriculture,8.0849,52.9612,33.7017,8.2882,1.1917
Agriculture,4.0533,54.9262,45.1611,7.7581,0.611
Agriculture,6.6481,44.8174,164.5058,7.2217,3.8079
Agriculture,6.9465,5.0707,95.6896,3.4659,0.4457
Agriculture,6.668,2.8636,49.7063,10.2256,2.5279
Agriculture,4.8677,8.077,82.8446,9.6011,3.5586
Agriculture,3.9132,21.0482,37.388,1.9679,2.4852
Agriculture,8.223,15.1702,181.0668,7.7474,2.5695
Agriculture,6.4606,23.4651,11.0706,10.7741,0.2252
Agriculture,7.7376,8.2926,74.1443,5.3401,3.7491
Agriculture,5.4783,43.48,112.1962,10.9826,3.0906
Agriculture,3.7581,49.4989,175.0774,0.5519,3.3945
Agriculture,4.8906,30.7476,158.0554,6.2161,3.6168
Agriculture,3.8375,57.606,7.7295,2.856,2.7602
Agriculture,3.8495,5.5711,165.8098,2.6532,2.4817
Agriculture,4.6732,7.1282,126.5693,10.428,3.4974
Agriculture,7.077,10.1541,35.0243,3.9121,4.3111
Agriculture,7.8794,59.4678,123.3349,0.4742,3.1475
Agriculture,8.0022,24.6794,168.9268,6.3125,4.0176
Agriculture,8.8144,56.2735,118.1733,11.8528,2.3894
Agriculture,6.9186,11.8037,196.4454,1.0393,3.0549
Agriculture,3.6799,51.6364,105.2811,3.7792,0.7025
Agriculture,5.5528,16.764,133.6114,5.9502,2.3137
Agriculture,4.0272,44.465,6.3155,10.1932,0.7129
Agriculture,7.7151,57.9349,161.8194,3.5239,2.384
Agriculture,4.2719,56.4297,126.8486,3.9748,0.3252
Agriculture,4.0682,49.5106,109.4631,4.6892,2.9422
Agriculture,3.5368,1.939,138.4851,5.0316,1.4
Agriculture,8.6599,36.3403,112.8754,2.5057,4.0773
Agriculture,7.7665,51.612,148.7259,10.6414,1.9365
Agriculture,5.4287,23.2351,117.9314,9.7253,4.4358
Agriculture,5.5151,44.1111,108.1525,11.8394,2.2676
Agriculture,3.8241,7.4786,32.2066,4.5517,4.1075
Agriculture,4.2925,8.2486,91.762,0.6669,1.5046
Agriculture,5.1691,38.7127,114.7652,1.6175,2.25
Agriculture,5.6155,30.8963,127.264,4.5958,3.0545
Agriculture,6.8075,11.4906,88.4916,10.9693,1.2139
Agriculture,5.3409,18.1227,27.6421,11.9139,3.2514
Agriculture,8.6929,34.2897,27.2788,10.2928,1.5064
Agriculture,5.5505,43.456,135.9855,2.9495,2.4243
Agriculture,8.6855,10.7856,137.9729,8.6191,0.1454
Agriculture,7.4157,57.8307,52.767,7.6684,0.4342
Agriculture,8.5423,0.0,91.7712,9.8027,1.1334
Agriculture,7.466,41.2977,61.7895,6.6966,4.0538
Agriculture,6.5264,16.1008,30.1577,3.8279,3.2877
Agriculture,6.4787,26.1316,66.616,1.0028,4.6146
Agriculture,5.1445,33.8377,56.3619,9.5207,4.5765
Agriculture,5.1861,32.8387,20.2826,6.5784,2.0568
Agriculture,4.7673,46.0764,105.2666,6.6203,1.9645
Agriculture,5.6576,49.0193,90.3784,11.4031,4.1589
Agriculture,4.1857,3.3925,133.4495,6.0435,2.1125
Agriculture,5.7033,42.3232,126.777,4.2004,4.1202
Agriculture,8.0493,23.6816,68.9616,4.2303,2.4187
Agriculture,8.4597,50.106,107.2393,0.4004,2.2245
Agriculture,6.8163,39.3886,114.7968,1.8352,1.4915
Agriculture,4.8124,0.8879,187.9112,0.4548,0.4304
Agriculture,4.861,41.3162,190.8325,3.0903,2.761
Agriculture,5.0199,55.6931,158.674,1.2599,1.7446
Agriculture,6.1949,5.5443,114.5106,4.0416,1.359
Agriculture,8.8897,29.2626,180.9599,1.8298,0.8995
Agriculture,3.9669,37.4282,39.1593,10.6404,1.9939
Agriculture,6.1388,10.7976,143.0016,11.2975,2.7608
Agriculture,7.2384,40.7427,98.3375,7.2877,4.1218
Agriculture,4.8934,4.1494,33.3225,9.7166,4.2145
Agriculture,8.7513,54.6469,13.493,8.1517,4.2491
Agriculture,5.2218,44.5289,95.8905,10.063,2.497
Agriculture,8.6532,56.2496,44.405,7.5355,2.8598
Agriculture,6.8389,26.2665,51.1704,5.1936,4.4203
Agriculture,3.5,4.9874,55.3419,10.3256,1.4579
Agriculture,5.1679,20.5847,142.5011,5.0574,0.8932
Agriculture,3.7186,32.4156,35.614,4.8591,0.6241
Agriculture,5.4706,56.3604,145.9774,7.3456,4.4746
Agriculture,8.6254,54.5149,160.0128,11.3256,1.9904
