Application,pH,Molarity_M,Conductivity_uS_per_cm,ReactionRate_per_s,Turbidity_NTU
Chemistry,2.9926,1.0972,4644.0059,12.42,891.6164
Chemistry,5.8464,1.226,18501.5668,25.0858,815.7178
Chemistry,11.5015,3.9446,0.0,34.118,762.8185
Chemistry,4.0401,3.0246,18491.1872,60.7787,797.4234
Chemistry,2.4632,4.5464,19370.9397,72.8297,376.4415
Chemistry,7.4009,2.24,2701.851,12.5702,912.667
Chemistry,2.7892,2.522,967.6431,25.3844,837.6134
Chemistry,13.7124,0.2531,16709.9579,61.4118,913.6993
Chemistry,8.8525,1.8509,372.105,76.4537,495.5055
Chemistry,7.3812,0.2752,17134.7129,82.0341,304.3113
Chemistry,6.0245,1.7348,7153.5594,38.2235,663.6811
Chemistry,8.8658,2.3257,243.8399,43.4858,729.2923
Chemistry,5.4748,0.7115,12864.9297,67.0733,661.3247
Chemistry,2.7518,4.1884,5478.3953,24.9973,403.2767
Chemistry,3.996,1.7445,2903.849,7.8615,503.1056
Chemistry,1.5617,0.2757,10667.6817,43.9501,133.9767
Chemistry,12.636,1.9066,900.0345,97.3632,578.2761
Chemistry,13.5546,2.6482,7690.3731,36.6092,509.7906
Chemistry,2.8581,2.2543,12211.1785,32.8422,165.6692
Chemistry,13.8834,2.901,14520.4772,81.8871,464.2527
Chemistry,7.7784,4.4012,10363.747,88.1063,308.7244
Chemistry,3.6087,0.2258,1744.8577,79.1774,626.0334
Chemistry,7.1346,3.7888,15137.3508,54.7202,818.1775
Chemistry,0.935,1.9997,7755.8932,92.3017,444.2423
Chemistry,1.8406,1.981,3346.6144,55.4662,807.8373
Chemistry,3.0163,2.8916,5358.027,31.7344,174.7573
Chemistry,12.9525,3.0246,13399.1465,93.9871,603.1467
Chemistry,13.7314,0.5811,3860.9404,67.7358,372.0023
Chemistry,5.2945,3.258,1604.5288,10.8018,365.6729
Chemistry,3.1162,0.8345,11434.0677,37.5439,263.2049
Chemistry,4.3718,1.367,12463.45,64.4968,192.6436
Chemistry,4.092,2.2773,8520.0552,82.2984,468.0438
Chemistry,7.4137,3.2762,10422.7403,98.664,809.9056
Chemistry,2.1848,3.611,16415.3625,21.6936,528.3326
Chemistry,8.1292,3.6598,7364.127,80.1186,565.3573
Chemistry,5.2618,2.5566,17269.2545,14.0324,717.2532
Chemistry,8.5205,0.7428,17628.2092,67.3671,259.9743
Chemistry,8.4837,3.4728,10404.0386,10.5936,386.2411
Chemistry,6.3079,4.9191,0.0,53.8807,856.4202
Chemistry,1.7826,4.0711,18569.1736,51.9822,31.4038
Chemistry,2.2491,2.3172,2223.0083,93.9172,496.2971
Chemistry,4.9722,2.3751,10929.1589,55.2375,513.762
Chemistry,10.6411,4.7765,13157.2587,78.2525,578.5216
Chemistry,4.6641,0.3528,2159.2286,89.2721,770.4257
Chemistry,4.1547,2.7997,14733.5187,14.7517,441.9063
Chemistry,11.328,0.564,12356.742,9.5142,841.7338
Chemistry,12.3878,0.2548,13213.0811,14.6556,365.5419
Chemistry,10.2015,1.2371,3477.326,30.7458,361.3817
Chemistry,5.9595,1.0958,5421.6812,36.7772,993.0422
Chemistry,2.7223,0.4338,6234.7828,3.5042,332.0188
Chemistry,13.4315,4.2144,2781.5923,23.2959,193.4778
Chemistry,5.0259,4.2047,11173.3786,3.1894,521.4517
Chemistry,6.0724,3.4666,1519.8692,17.8575,967.231
Chemistry,7.6187,3.8132,5191.9153,41.9927,812.5851
Chemistry,7.5468,0.3452,14730.5316,76.0442,426.5905
Chemistry,0.29,1.3283,5203.1417,99.1818,534.1139
Chemistry,12.3849,2.8892,4042.2636,19.6364,990.1388
Chemistry,12.0804,4.4691,2247.6307,69.1339,734.6581
Chemistry,1.5055,3.4943,12163.3008,36.7333,109.4767
Chemistry,12.6699,0.0196,8100.3225,85.6238,599.5165
Chemistry,2.4346,1.1694,3982.0176,31.2229,934.7158
Chemistry,3.2254,1.9424,4470.8716,29.2254,180.4437
Chemistry,6.9526,3.2289,19828.3116,51.4104,752.8412
Chemistry,13.5208,3.4111,856.3009,100.0,420.7346
Chemistry,7.2047,3.1417,15010.0274,38.2814,130.9015
Chemistry,5.1963,0.3239,18002.531,22.6313,845.5547
Chemistry,6.9273,3.6711,8332.8278,70.4331,664.7782
Chemistry,2.9395,3.4388,9829.7882,91.8873,14.1892
Chemistry,13.3358,0.8946,16738.0583,83.4636,821.9511
Chemistry,12.8202,2.6121,52.0833,89.0261,555.0282
Chemistry,9.8286,1.4771,3666.4829,2.3641,611.6509
Chemistry,2.2085,3.5376,14554.3776,7.0414,568.9399
Chemistry,7.0414,1.0806,10610.4296,79.4979,329.5725
Chemistry,5.7345,0.0001,19257.9102,44.6417,153.4518
Chemistry,13.767,2.1206,4128.4533,48.2957,733.4267
Chemistry,0.9438,0.1753,17783.431,40.9439,637.8162
Chemistry,3.6068,0.2501,19563.4187,16.2497,841.4865
Chemistry,6.9697,0.9759,19.3124,92.0377,592.2944
Chemistry,12.22,3.7616,5700.2897,74.1159,39.5738
Chemistry,10.1936,4.6782,19176.5344,38.0781,383.4367
Chemistry,13.6581,2.6639,17840.041,57.6444,106.501
Chemistry,3.4519,3.41,2288.0904,52.293,633.4515
Chemistry,1.2774,0.2347,4713.5417,49.4386,202.7447
Chemistry,8.0112,3.9742,12838.2646,99.5614,967.2118
Chemistry,6.0129,2.3089,4582.645,46.5365,156.5645
Chemistry,4.3812,2.248,7738.5135,61.082,804.2486
Chemistry,10.7271,3.8972,5220.9402,24.6506,605.7588
Chemistry,7.5605,0.4637,5622.8025,39.2313,261.9238
Chemistry,4.449,2.317,6661.7613,54.9539,794.9527
Chemistry,7.2585,2.7549,10741.9215,87.475,960.7486
Chemistry,13.1272,2.9587,15745.4518,100.0,180.7983
Chemistry,3.541,3.5896,11252.601,82.8402,852.5545
Chemistry,6.2442,3.129,5120.8065,79.075,807.805
Chemistry,4.208,4.2397,13341.4226,13.6088,747.1453
Chemistry,8.1412,4.9697,16752.3921,89.5426,280.0627
Chemistry,12.9496,0.0267,12973.3254,92.2269,699.7814
Chemistry,9.4861,2.128,16733.4403,23.6836,81.0859
Chemistry,2.6162,2.2485,9550.9586,49.1488,98.2579
Chemistry,1.8512,3.7323,19413.6713,38.1281,301.6196
Chemistry,0.5872,1.5712,12223.0091,72.4405,242.9113
Chemistry,11.6033,0.153,14175.3952,15.6107,508.9845
Chemistry,6.3368,0.323,1634.7096,75.5707,566.5702
Chemistry,6.1325,4.6976,11877.7113,82.799,322.8986
Chemistry,4.0213,4.5471,438.306,12.8778,686.4788
Chemistry,5.7947,1.3986,3914.8429,23.9178,0.0
Chemistry,5.0025,4.8252,14364.9349,9.8385,256.9476
Chemistry,10.2341,4.3754,13382.0663,80.9731,368.9533
Chemistry,9.738,3.3622,10100.6359,3.9302,382.5669
Chemistry,6.139,1.2887,12748.3081,91.7144,383.9111
Chemistry,9.3633,0.5725,16634.8212,53.5296,0.0
Chemistry,8.3757,0.841,16717.1271,19.4282,959.7587
Chemistry,9.2294,0.9776,18313.505,15.4179,776.1726
Chemistry,10.6554,4.1653,17831.5237,16.0074,4.0195
Chemistry,0.9022,1.5669,10007.4401,25.1814,356.8957
